 date ; ip ; id ; refr ; cookies.langCode ; req_id ; geo ; geo.con ; geo.iso ; geo.city ; ua.isMobile ; ua.isTablet ; ua.isiPad ; ua.isiPod ; ua.isiPhone ; ua.isAndroid ; ua.isBlackberry ; ua.isOpera ; ua.isIE ; ua.isIECompatibilityMode ; ua.isSafari ; ua.isFirefox ; ua.isWebkit ; ua.isChrome ; ua.isKonqueror ; ua.isOmniWeb ; ua.isSeaMonkey ; ua.isFlock ; ua.isAmaya ; ua.isEpiphany ; ua.isDesktop ; ua.isWindows ; ua.isLinux ; ua.isLinux64 ; ua.isMac ; ua.isChromeOS ; ua.isBada ; ua.isSamsung ; ua.isRaspberry ; ua.isBot ; ua.isCurl ; ua.isAndroidTablet ; ua.isWinJs ; ua.isKindleFire ; ua.isSilk ; ua.silkAccelerated ; ua.browser ; ua.version ; ua.os ; ua.platform ; ua.source 
 2015-07-31T10:58:52.803Z ; 91.196.95.99 ; 3ec107d4-1f46-4574-b99f-73ce6fba0b3f ; https://simplio.com/ ; en ; bae98c90-b7d7-40bc-a7ed-bd9e6efd27c5 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.89 ; Linux 64 ; Linux ; Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36 
 2015-07-31T10:59:23.765Z ; 91.196.95.99 ; 3ec107d4-1f46-4574-b99f-73ce6fba0b3f ; https://simplio.com/en ; en ; 515809b1-2f58-41ca-99cd-1dc7ff606ab5 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.89 ; Linux 64 ; Linux ; Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36 
 2015-07-31T11:00:44.385Z ; 91.196.95.99 ; 3ec107d4-1f46-4574-b99f-73ce6fba0b3f ; https://simplio.com/en/help/contact_us ; en ; 49acae5a-a8f0-43d0-9796-eb6f30072ecf ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.89 ; Linux 64 ; Linux ; Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36 
 2015-07-31T11:03:27.859Z ; 94.230.233.159 ; 5a8b766f-a8c9-4321-8384-37767c7b0b15 ; https://simplio.com/en ;  ; 5b47a261-6178-4626-8918-9f19992fe2d8 ;  AS , UZ , Tashkent  ; AS ; UZ ; Tashkent ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 43.0.2357.130 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36 
 2015-07-31T11:04:39.943Z ; 91.196.95.99 ; 3ec107d4-1f46-4574-b99f-73ce6fba0b3f ; https://simplio.com/en/payment?id=@172.31.11.238_7206f8d12065469b27401204834e692b.1438340376.6504@28 ; en ; 50a3c6e2-a916-4e13-b1b7-f99321dac825 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.89 ; Linux 64 ; Linux ; Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36 
 2015-07-31T11:04:57.360Z ; 94.230.233.159 ; 5a8b766f-a8c9-4321-8384-37767c7b0b15 ; https://simplio.com/account/events/reset/40fbebc18fab263c ;  ; 036f0af2-47b3-4286-beb6-8ee60f3941e3 ;  AS , UZ , Tashkent  ; AS ; UZ ; Tashkent ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 43.0.2357.130 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36 
 2015-07-31T11:05:41.294Z ; 94.230.233.159 ; 5a8b766f-a8c9-4321-8384-37767c7b0b15 ; https://simplio.com/account/events/reset/40fbebc18fab263c ;  ; 3d3ee962-35f7-4658-9857-7abc0b13f158 ;  AS , UZ , Tashkent  ; AS ; UZ ; Tashkent ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 43.0.2357.130 ; Windows 7 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.130 Safari/537.36 
 2015-07-31T11:05:58.533Z ; 91.196.95.99 ; 3ec107d4-1f46-4574-b99f-73ce6fba0b3f ; https://simplio.com/es/payment?id=@172.31.11.238_7206f8d12065469b27401204834e692b.1438340376.6504@28 ; en ; 1131debe-b7ba-4afc-bca0-e1ef6f16c591 ;  EU , UA , Odesa  ; EU ; UA ; Odesa ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 44.0.2403.89 ; Linux 64 ; Linux ; Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.89 Safari/537.36 
 2015-07-31T11:07:36.580Z ; 171.97.143.226 ; 33fe8721-92ff-4c4d-8682-a517e15e36ce ; https://simplio.com/en/payment?id=@172.31.8.94_75096d6a297e638f70356993c5da494c.1438340348.8536@58&afid=momondo_us&aver=en ;  ; 33fe8721-92ff-4c4d-8682-a517e15e36ce ;  AS , TH , Thanyaburi  ; AS ; TH ; Thanyaburi ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ; true ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Chrome ; 43.0.2357.134 ; Windows 8.1 ; Microsoft Windows ; Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.134 Safari/537.36 
 2015-07-31T11:09:19.231Z ; 94.98.216.207 ; 1c37fc08-bd61-4980-9b85-1a67b5339a6a ; https://simplio.com/en ;  ; c6c30d23-bbe1-4c1c-a234-b2c248015e2b ;  AS , SA , Riyadh  ; AS ; SA ; Riyadh ; true ; true ; true ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; true ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Safari ; 8.0 ; OS X ; iPad ; Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4 
